Round,Team 1,FT,Team 2
1,Monarcas Morelia,2-0,Pumas UNAM
1,Santos Laguna,02-Jan,CF Monterrey
1,Querétaro FC,0-4,Club León
1,CF Pachuca,03-Jan,Club Atlas
1,Cruz Azul,01-Jan,Club Puebla
1,Tigres UANL,01-Jan,Club América
1,Deportivo Toluca FC,2-0,Club Tijuana
1,CD Guadalajara Chivas,01-Feb,Club Necaxa
1,Tiburones Rojos Veracruz,0-5,Querétaro FC
1,Atlético San Luis,01-Jan,Monarcas Morelia
1,Club América,01-Jan,CF Pachuca
1,Club Atlas,01-Jan,Tigres UANL
1,Club León,02-Feb,Santos Laguna
1,Club Necaxa,01-Jan,Deportivo Toluca FC
1,Club Tijuana,03-Feb,Cruz Azul
1,CF Monterrey,2-0,Pumas UNAM
1,Club Puebla,02-Jan,FC Juárez
1,Club Atlas,3-0,Club América
1,Monarcas Morelia,1-0,Tiburones Rojos Veracruz
1,Club Necaxa,03-Feb,Club Tijuana
1,Cruz Azul,01-Jan,CD Guadalajara Chivas
1,CF Pachuca,0-2,Atlético San Luis
1,Tigres UANL,01-Jan,Club León
1,Pumas UNAM,02-Jan,Deportivo Toluca FC
1,Querétaro FC,01-Jan,Club Puebla
1,FC Juárez,1-0,CF Monterrey
1,Club Puebla,01-Mar,Atlético San Luis
1,Club Tijuana,01-Jan,Tigres UANL
1,Tiburones Rojos Veracruz,0-0,Cruz Azul
1,CF Monterrey,0-2,Club Necaxa
1,Club León,03-Jan,FC Juárez
1,CD Guadalajara Chivas,1-0,Club Atlas
1,Club América,01-Jan,Pumas UNAM
1,Deportivo Toluca FC,0-2,Monarcas Morelia
1,Santos Laguna,02-Feb,CF Pachuca
1,Monarcas Morelia,1-0,CD Guadalajara Chivas
1,Club Atlas,0-1,Deportivo Toluca FC
1,Atlético San Luis,02-Mar,Santos Laguna
1,Club Necaxa,02-Apr,Club León
1,Club América,02-Feb,Querétaro FC
1,CF Pachuca,04-Jan,Club Tijuana
1,CF Monterrey,03-Feb,Club Puebla
1,Pumas UNAM,01-Jan,Cruz Azul
1,FC Juárez,2-0,Tiburones Rojos Veracruz
2,Querétaro FC,01-Feb,Club Necaxa
2,Tigres UANL,0-1,Club Puebla
2,Club León,01-Jan,Club Atlas
2,CD Guadalajara Chivas,02-Apr,CF Pachuca
2,Club Tijuana,03-Feb,Monarcas Morelia
2,Santos Laguna,5-0,Tiburones Rojos Veracruz
2,Cruz Azul,01-Jan,CF Monterrey
2,FC Juárez,01-Jan,Club América
2,Deportivo Toluca FC,03-Jan,Atlético San Luis
2,Club Puebla,02-Jan,Club León
2,Club Atlas,2-0,Querétaro FC
2,CF Pachuca,2-0,Cruz Azul
2,Club Necaxa,0-0,FC Juárez
2,CF Monterrey,0-2,Tigres UANL
2,Club América,04-Jan,CD Guadalajara Chivas
2,Pumas UNAM,2-0,Santos Laguna
2,Atlético San Luis,02-Mar,Club Tijuana
2,Tiburones Rojos Veracruz,01-Jan,Deportivo Toluca FC
2,Monarcas Morelia,02-Mar,Club Necaxa
2,Club Tijuana,02-Feb,Club Atlas
2,Club León,01-Jan,Tiburones Rojos Veracruz
2,Tigres UANL,4-0,Santos Laguna
2,CD Guadalajara Chivas,01-Jan,Pumas UNAM
2,Cruz Azul,05-Feb,Club América
2,Deportivo Toluca FC,01-Jan,Club Puebla
2,FC Juárez,01-Feb,Atlético San Luis
2,Querétaro FC,02-Jan,CF Monterrey
2,Club Puebla,0-1,Club Atlas
2,Tiburones Rojos Veracruz,01-Mar,Tigres UANL
2,Santos Laguna,04-Jan,Club Tijuana
2,Cruz Azul,02-Mar,Monarcas Morelia
2,CF Pachuca,0-1,FC Juárez
2,Club Necaxa,02-Feb,Club América
2,CF Monterrey,01-Jan,CD Guadalajara Chivas
2,Atlético San Luis,0-2,Querétaro FC
2,Pumas UNAM,01-Feb,Club León
2,Monarcas Morelia,02-Feb,Santos Laguna
2,Club Tijuana,2-0,Tiburones Rojos Veracruz
2,Club Atlas,0-2,Club Necaxa
2,Tigres UANL,01-Jan,Cruz Azul
2,Club América,2-0,Club Puebla
2,Club León,03-Feb,Atlético San Luis
2,Querétaro FC,3-0,Pumas UNAM
2,Deportivo Toluca FC,2-0,CF Pachuca
2,FC Juárez,01-Feb,CD Guadalajara Chivas
2,Santos Laguna,1-0,Querétaro FC
2,Tiburones Rojos Veracruz,1-0,Club Puebla
2,Atlético San Luis,0-1,Club América
2,Pumas UNAM,05-Jan,Club Atlas
2,CF Pachuca,02-Mar,CF Monterrey
2,CD Guadalajara Chivas,0-1,Club Tijuana
2,Tigres UANL,1-0,Deportivo Toluca FC
2,Cruz Azul,1-0,Club León
2,Monarcas Morelia,06-Jan,FC Juárez
2,Club Puebla,01-Jan,Pumas UNAM
2,Club Atlas,01-Feb,Atlético San Luis
2,Querétaro FC,0-0,Tigres UANL
2,Club América,01-Feb,Santos Laguna
2,Club Necaxa,01-Feb,CF Pachuca
2,CF Monterrey,01-Jan,Tiburones Rojos Veracruz
2,Deportivo Toluca FC,01-Mar,CD Guadalajara Chivas
2,Club León,01-Jan,Monarcas Morelia
2,FC Juárez,3-0,Club Tijuana
2,Monarcas Morelia,03-Feb,Club Puebla
2,Tiburones Rojos Veracruz,0-5,Club América
2,Club Tijuana,0-4,CF Monterrey
2,Atlético San Luis,0-2,Club Necaxa
2,Club León,4-0,Deportivo Toluca FC
2,CD Guadalajara Chivas,03-Feb,Querétaro FC
2,Tigres UANL,0-0,CF Pachuca
2,Pumas UNAM,01-Jan,FC Juárez
2,Santos Laguna,03-Jan,Cruz Azul
2,Club Puebla,3-0,Club Necaxa
2,Club Tijuana,01-Feb,Club León
2,Cruz Azul,03-Jan,Atlético San Luis
2,Querétaro FC,03-Jan,Monarcas Morelia
2,CD Guadalajara Chivas,03-Jan,Tiburones Rojos Veracruz
2,CF Pachuca,2-0,Pumas UNAM
2,CF Monterrey,2-0,Club Atlas
2,FC Juárez,01-Feb,Tigres UANL
2,Deportivo Toluca FC,02-Feb,Santos Laguna
2,Monarcas Morelia,03-Mar,Club León
2,Club Necaxa,3-0,Querétaro FC
2,Club América,01-Feb,Tigres UANL
2,CF Monterrey,05-Feb,Santos Laguna
2,Querétaro FC,02-Mar,Club Necaxa
2,Club León,01-Feb,Monarcas Morelia
2,Santos Laguna,01-Jan,CF Monterrey
2,Tigres UANL,02-Apr,Club América
2,CF Monterrey,02-Jan,Club Necaxa
2,Club Necaxa,0-1,CF Monterrey
2,Monarcas Morelia,0-2,Club América
2,Club América,2-0,Monarcas Morelia
2,CF Monterrey,02-Jan,Club América
